Attribute VB_Name = "Module1"
' TIPOS NPC
Comercia = 1
TipoItems = 3
NROITEMS = 28
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 240 - 100
Obj5 = 527 - 100
Obj6 = 515 - 100
Obj7 = 504 - 100
Obj8 = 505 - 100
Obj9 = 506 - 100
Obj10 = 490 - 100
Obj11 = 486 - 100
Obj12 = 511 - 100
Obj13 = 382 - 100
Obj14 = 488 - 100
Obj15 = 512 - 100
Obj16 = 656 - 100
Obj17 = 657 - 100
Obj18 = 694 - 100
Obj19 = 707 - 100
Obj20 = 510 - 100
Obj21 = 513 - 100
Obj22 = 697 - 100
BackUp = 1
Domable = 0
info=Satre de Esperanza

[NPC178]
Name = Sastre
Desc=Si quieres salir con vida de estas islas, deberás vestir una de mis túnicas.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 8
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
BackUp = 1
Domable = 0
info=Sastre de Esperanza (túnicas gnomo/enano)

[NPC179]
Name = Sastre
Desc=Usa una de mis túnicas, te protegerán.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 10
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
BackUp = 1
Domable = 0
info=Sastre de Esperanza (túnicas humano/elfo/elfo oscuro)

[NPC160]
Name = Herrero
Desc=Tu cuerpo será lastimado si no lo cubres con armaduras.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 20
Obj1 = 672 - 100
Obj2 = 359 - 100
Obj3 = 499 - 100
Obj4 = 671 - 100
Obj5 = 356 - 100
Obj6 = 360 - 100
Obj7 = 391 - 100
Obj8 = 243 - 100
Obj9 = 497 - 100
Obj10 = 500 - 100
Obj11 = 496 - 100
Obj12 = 693 - 100
Obj13 = 495 - 100
Obj14 = 650 - 100
Obj15 = 487 - 100
Obj16 = 667 - 100
Obj17 = 485 - 100
Obj18 = 481 - 100
Obj19 = 482 - 100
Obj20 = 483 - 100
BackUp = 1
Domable = 0
info=Herrero de Esperanza (armaduras)

[NPC162]
Name = Herrero
Desc=Los cascos y escudos son fundamentales a la hora de la batalla.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 9
Obj1 = 404 - 100
Obj2 = 608 - 100
Obj3 = 130 - 100
Obj4 = 616 - 100
Obj5 = 623 - 100
Obj6 = 568 - 100
Obj7 = 567 - 100
Obj8 = 405 - 100
Obj9 = 564 - 100
BackUp = 1
Domable = 0
info=Herrero de Esperanza (cascos y escudos)

[NPC128] ' CARPINTERO Carpintería: 127, 198, 478, 479, 597, 480.
Name = Leñador
Desc=¡Hola muchacho! Si quieres madera no tienes más que pedirme.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 14
NROITEMS = 5
Obj1 = 127 - 100
Obj2 = 198 - 100
Obj3 = 478 - 100
Obj4 = 596 - 100
Obj5 = 479 - 100
BackUp = 1
Domable = 0
info=Carpintero de Nueva Esperanza

[NPC129] 'NPC
Name = Banquero
Desc=Por el peligro que representa esta ciudad, todo lo depositado es llevado rápidamente al continente. Por lo que tus pertenencias están a salvo!
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
info=Banquero de Esperanza

[NPC136] 'NPC Comida: 26, 25, 27.
Name = Argal
Desc=¡Hola buen amigo! Cuento con las mejores frutas de esta isla. Por algunas monedas de oro podra obtener muy buenas provisiones.
Head = 2
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
Inflacion = 5
NROITEMS = 3
Inflacion = 0
Obj1 = 25 - 100
Obj2 = 26 - 100
Obj3 = 27 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Esperanza

[NPC137] 'NPC Bebida: 43, 160, 161, 42.
Name=Bebida Esperanza
Desc=Aunque aquí los precios son altos, no encontrarás mejores en ningún lugar cercano.
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 4
Obj1 = 42 - 100
Obj2 = 43 - 100
Obj3 = 160 - 100
Obj4 = 161 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas de Esperanza

'************************************* NPCS EZPERANZA ****************************************
'*********************************************************************************************



'************************************* NPCS ARGHAL *******************************************
'*********************************************************************************************

[NPC12] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527, 507, 502, 515, 382, 511, 550. Túnicas: 135, 381, 238, 675.
Name = Sastre
Desc= ¿Tienes frío? No te preocupes, vendo ropajes a precios asombrosamente bajos.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 14
Inflacion = 0
Obj1 = 31 - 100
Obj2 = 32 - 100
Obj3 = 35 - 100
Obj4 = 504 - 100
Obj5 = 505 - 100
Obj6 = 506 - 100
Obj7 = 490 - 100
Obj8 = 486 - 100
Obj9 = 511 - 100
Obj10 = 382 - 100
Obj11 = 488 - 100
Obj12 = 512 - 100
Obj13 = 656 - 100
Obj14 = 694 - 100
BackUp = 1
Domable = 0
info=Sastre de Arghal

[NPC180]
Name = Sastre
Desc=Tengo las túnicas que necesitas.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 8
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
BackUp = 1
Domable = 0
info=Sastre de Esperanza (túnicas gnomo/enano)

[NPC181]
Name = Sastre
Desc=Si estás buscando túnicas, tengo lo que quieres.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 10
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
BackUp = 1
Domable = 0
info=Sastre de Arghal (túnicas humano/elfo/elfo oscuro)

[NPC206] 'NPC Hechizos:
Name = Mago
Desc=Tengo algunos hechizos que te podrían ser útiles.
Head = 6
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 6
Obj1 = 318 - 100
Obj2 = 361 - 100
Obj3 = 530 - 100
Obj4 = 531 - 100
Obj5 = 532 - 100
Obj6 = 537 - 100
Domable = 0
info=Vendedor de hechizos de Arghal

[NPC205]
Name = Mago
Info=Mago de Arghal
Desc=Te enseñaré los gorros y báculos que vendo.
Head = 2
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 5
Obj1 = 726 - 100
Obj2 = 728 - 100
Obj3 = 705 - 100
Obj4 = 573 - 100
Obj5 = 572 - 100
Domable = 0
info=Vendedor de Gorros/Báculos Arghal

[NPC117] Armas: 15, 2, 3, 579, 580, 581, 399, 125, 705.
Name = Herrero
Desc=Bienvenido a mi tienda, supongo que debes estar buscando armas... ¡¡entonces compra o vete de aquí!!
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 22
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 589 - 100
Obj16 = 591 - 100
Obj17 = 592 - 100
Obj18 = 165 - 100
Obj19 = 365 - 100
Obj20 = 366 - 100
Obj21 = 367 - 100
Obj22 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Arghal (armas)

[NPC118] 'NPC Comida: 26, 25, 27.
Name = Argal
Desc=¡Hola buen amigo! El temor a que Arghal sea de nuevo destruida hace que muchos compren mucha comida para sus refugios!
Head = 2
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 3
Inflacion = 0
Obj1 = 25 - 100
Obj2 = 26 - 100
Obj3 = 27 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Arghal

[NPC120] 'NPC Armaduras: 529, 30, 659, 672, 671, 499, 359.Escudos: 404, 608.Cascos: 568, 566.
Name = Herrero
Desc=Tan solo las armaduras que yo vendo te protegerán contra las fuerzas del mal.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 20
Obj1 = 672 - 100
Obj2 = 359 - 100
Obj3 = 499 - 100
Obj4 = 671 - 100
Obj5 = 356 - 100
Obj6 = 360 - 100
Obj7 = 391 - 100
Obj8 = 243 - 100
Obj9 = 497 - 100
Obj10 = 500 - 100
Obj11 = 496 - 100
Obj12 = 693 - 100
Obj13 = 495 - 100
Obj14 = 650 - 100
Obj15 = 487 - 100
Obj16 = 667 - 100
Obj17 = 485 - 100
Obj18 = 481 - 100
Obj19 = 482 - 100
Obj20 = 483 - 100
BackUp = 1
Domable = 0
info=Herrero de Arghal (armaduras)

[NPC161]
Name = Herrero
Desc=Las piezas que yo vendo, pueden salvarte la vida.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 9
Obj1 = 404 - 100
Obj2 = 608 - 100
Obj3 = 130 - 100
Obj4 = 616 - 100
Obj5 = 623 - 100
Obj6 = 568 - 100
Obj7 = 567 - 100
Obj8 = 405 - 100
Obj9 = 564 - 100
BackUp = 1
Domable = 0
info=Herrero de Arghal (cascos y escudos)

[NPC121] 'NPCPociones: 38, 709, 37, 708, 36, 39, 166.
Name = Hechizera
Desc=Puedes aumentar tu fuerza, agilidad, vida o poderío mágico con las pociones que te ofrezco.
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 708 - 100
Obj2 = 709 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedor de pociones de Arghal

[NPC122] 'NPC Pescador: 543, 138.
Name = Pescador
Desc=¡Hola forastero, bienvenido a Arghal!
Head = 101
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 2
Obj1 = 138 - 100
Obj2 = 543 - 100
BackUp = 1
Domable = 0
info=Pescador de Arghal

[NPC123] 'NPC
Name = Banquero
Desc=Hola, bienvenido a la cadena de finanzas Goliath. Somos la mas grande cadena de finanzas en estas tierras, con bancos en todas las ciudades.
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
info=Banquero de Arghal

[NPC138] 'NPC Bebida: 43, 160, 161, 42.
Name=Bebida Arghal
Desc=Si tienes sed, nada mejor que una de nuestras bebidas.
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 4
Obj1 = 42 - 100
Obj2 = 43 - 100
Obj3 = 160 - 100
Obj4 = 161 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas de Arghal

[NPC106] ' Rey de Arghal
Name=Lord Azhimur, Rey de Arghal
NpcType = 5
Faccion = 2
Desc=Arghal fue reconstruida en el desierto luego de que una gran guerra la destruyera por completo. Yo soy Lord Azhimur, su Rey, y si quieres evitar que el pasado se repita, escribe /ENLISTAR y únete a nosotros.
Head = 203
Body = 63
Heading = 3
Movement = 1
Attackable = 0
info=Rey de Arghal

'************************************* NPCS ARGHAL *******************************************
'*********************************************************************************************

[NPC63] ' Sacerdote
Name = Sacerdote
NpcType = 1
Desc=Hola hijo mio, soy el sacerdote de este pueblo. Si quieres ser resucitado solo dímelo.
Head = 3
Body = 49
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
NROITEMS = 3
Obj1 = 1 - 7
Obj2 = 3 - 1
Obj3 = 2 - 1
Domable = 0

[NPC65] 'Gallo
Name = Gallo
info = INVULNERABLE
Desc=
Head = 0
Body = 5
Heading = 3
Movement = 2
Comercia = 0
Hostile = 0
GiveEXP = 10
GiveGLD = 0
MinHP = 15
MaxHP = 15
MaxHIT = 1
MinHIT = 1
DEF = 0
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 5
PoderEvasion = 5
Domable = 0


[NPC66] 'Cerdo
Name = Cerdo
info = INVULNERABLE
Desc=
Head = 0
Body = 6
Heading = 3
Movement = 2
Comercia = 0
Hostile = 0
GiveEXP = 15
GiveGLD = 0
MinHP = 35
MaxHP = 35
MaxHIT = 2
MinHIT = 1
DEF = 0
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 5
PoderEvasion = 5
Domable = 0


[NPC67] 'Vaca
Name = Vaca
info = INVULNERABLE
Desc=
Head = 0
Body = 7
Heading = 3
Movement = 2
Comercia = 0
Hostile = 0
GiveEXP = 10
GiveGLD = 0
MinHP = 45
MaxHP = 45
MaxHIT = 3
MinHIT = 1
DEF = 2
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 5
PoderEvasion = 5
Domable = 0

[NPC73] ' Guardia
Name=Guardia Imperial
NpcType = 2
Faccion = 1
Desc=Dare carcel a todos los criminales.
'Head=0
Head = 101
Body = 62
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 150
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 400
PoderEvasion = 400
Domable = 0

[NPC74] 'Aguila
Name = Aguila
Head = 0
Body = 59
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 75
GiveGLD = 0
MinHP = 40
MaxHP = 40
MaxHIT = 15
MinHIT = 4
PoderAtaque = 25
PoderEvasion = 160
Domable = 87
AguaValida = 1

[NPC75] 'Cuervo
Name = Cuervo
Head = 0
Body = 68
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 55
GiveGLD = 0
MinHP = 30
MaxHP = 30
MaxHIT = 6
MinHIT = 2
PoderAtaque = 15
PoderEvasion = 100
Domable = 50
AguaValida = 1

[NPC76] 'Hormiga
Name = Hormiga
Head = 0
Body = 70
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 5
GiveGLD = 0
MinHP = 5
MaxHP = 5
MaxHIT = 1
MinHIT = 1
PoderAtaque = 5
PoderEvasion = 3
Domable = 5

[NPC77] 'Rata
Name = Rata
Head = 0
Body = 71
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 5
GiveGLD = 0
MinHP = 15
MaxHP = 15
MaxHIT = 4
MinHIT = 2
PoderAtaque = 10
PoderEvasion = 20
Domable = 15
Snd1 = 47
SND2 = 47

[NPC78] 'Oso pardo
Name=Oso pardo
Head = 0
Body = 73
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 550
GiveGLD = 0
MinHP = 515
MaxHP = 515
MaxHIT = 100
MinHIT = 65
PoderAtaque = 700
PoderEvasion = 45
Domable = 300

[NPC79] 'Tortuga
Name=Tortuga gigante
Head = 0
Body = 74
Heading = 3
Movement = 2
Hostile = 0
Alineacion = 0
GiveEXP = 350
GiveGLD = 0
MinHP = 315
MaxHP = 315
MaxHIT = 80
MinHIT = 35
PoderAtaque = 300
PoderEvasion = 25
Domable = 200

[NPC80] 'NPC
Name = Mercader
Info=Vende Todo
Desc=¡¡Hola buen amigo, compro y vendo todo tipo de mercancias!!
Head = 2
Body = 3
Heading = 3
Movement = 1
Comercia = 1
TipoItems = 1000
BackUp = 1
NROITEMS = 1
Obj1 = 534 - 100

[NPC81] ' Guardia
Name = Sacerdote
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 4
Body = 101
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 25
Sp2 = 9

[NPC82] ' Guardia
Name = Sacerdote
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 5
Body = 101
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 25
Sp2 = 9


[NPC83] ' Guardia
Name = Druida
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 101
Body = 56
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC84] ' Guardia
Name = Druida
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 102
Body = 56
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC85] ' Guardia
Name = Druida
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 103
Body = 56
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC86] ' Guardia
Name = Mago
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 6
Body = 130
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC87] ' Guardia
Name=Mago imperial
NpcType = 2
Faccion = 1
Desc=Ohhh hijo mio!! que la llama de la virtud arda en tu corazón!!!
Head = 6
Body = 128
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
PosOrig = 0
DEF = 10
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23

[NPC88] 'NPC
Name = Ely
Head = 0
Body = 143
MinHP = 15000
MaxHP = 15000
Heading = 3
Movement = 2
Attackable = 0
Comercia = 0
Hostile = 0
Alineacion = 0
Domable = 0
LanzaSpells = 1
Sp1 = 5
AguaValida = 1

[NPC89] 'NPC
Name=Fuego fatuo
Head = 0
Body = 144
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
Alineacion = 0
Domable = 0
GiveEXP = 6000
GiveGLD = 1000
MinHP = 15000
MaxHP = 15000
MaxHIT = 100
MinHIT = 100
PoderAtaque = 1000
PoderEvasion = 500
Domable = 0
LanzaSpells = 1
Sp1 = 23
AguaValida = 1

[NPC90] 'NPC
Name = Morgolock 's soul
Head = 0
Body = 144
Heading = 3
Movement = 2
Comercia = 0
Hostile = 0
Alineacion = 0
Domable = 0
GiveEXP = 2000
GiveGLD = 2000
MinHP = 29550
MaxHP = 29550
MaxHIT = 100
MinHIT = 100
PoderAtaque = 1500
PoderEvasion = 1500
Domable = 0
LanzaSpells = 2
Sp1 = 24
Sp2 = 23
AguaValida = 1

[NPC91] 'Aguila
Name=Gran Aguila
Head = 0
Body = 59
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 75
GiveGLD = 0
MinHP = 40
MaxHP = 40
MaxHIT = 15
MinHIT = 4
PoderAtaque = 25
PoderEvasion = 160
Domable = 87
AguaValida = 1

[NPC92] 'Elemental de agua
Name=Elemental de agua
Body=154
Heading=3
Movement=2
MinHP=400
MaxHP=400
MaxHIT=205
MinHIT=185
PoderAtaque=180
PoderEvasion=180
Attackable=1

[NPC93] 'Elemental de fuego
Name=Elemental de fuego
Body=153
Heading=3
Movement=2
MinHP=400
MaxHP=400
Attackable=1
MaxHIT=120
MinHIT=100
PoderAtaque=200
PoderEvasion=200
LanzaSpells=1
Sp1=15

[NPC94] 'Elemental de tierra
Name=Elemental de tierra
Body = 152
Attackable = 1
Heading = 3
Movement = 2
MinHP = 400
MaxHP = 400
MaxHIT = 220
MinHIT = 250
PoderAtaque = 200
PoderEvasion = 200
LanzaSpells = 1
Sp1 = 24

[NPC95] 'Jabalí
Name = Jabalí
Head = 0
Body = 150
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 550
GiveGLD = 0
MinHP = 515
MaxHP = 515
MaxHIT = 100
MinHIT = 65
PoderAtaque = 700
PoderEvasion = 45
Domable = 250

[NPC96] 'Tigre
Name = Tigre
Head = 0
Body = 147
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 600
GiveGLD = 0
MinHP = 800
MaxHP = 800
MaxHIT = 70
MinHIT = 30
PoderAtaque = 700
PoderEvasion = 45
Domable = 350


[NPC97] 'Pato
Name = Pato
Head = 0
Body = 88
Heading = 3
Movement = 2
Attackable = 1
Hostile = 0
Alineacion = 0
GiveEXP = 20
GiveGLD = 0
MinHP = 30
MaxHP = 30
MaxHIT = 5
MinHIT = 3
PoderAtaque = 10
PoderEvasion = 10
Domable = 50

[NPC98] ' Demonio
Name = Demonio
NpcType = 5
Body = 258
Heading = 3
Attackable = 0
Desc=Si deseás unirte a las fuerzas de Lord Azhimur escribe /ENLISTAR
Movement = 1
Faccion = 2

[NPC100] ' Guardia
Name=Guardia Imperial
NpcType = 2
Faccion = 1
Desc=Dare carcel a todos los criminales y los perseguire hasta el fin.
Head = 0
Body = 15
Heading = 3
Movement = 10
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 115
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 400
PoderEvasion = 400
Domable = 0


[NPC101] ' Apostador
Name = Apostador
NpcType = 7
Desc=Para apostar escribe /apostar seguido del monto!
Head = 0
Body = 15
Heading = 3
Movement = 1
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 1000
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 115
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 400
PoderEvasion = 400
Domable = 0


[NPC102] ' Recompensa
Name = sabio
NpcType = 10
Desc=Podrías aprender cosas interesantes en una charla con un viejo como yo. Escribe /hablar si quieres intentarlo.
Head = 0
Body = 15
Heading = 3
Movement = 10
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 1000
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 115
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 400
PoderEvasion = 400
Domable = 0

[NPC103] 'NPC
Name=Fuego fatuo
Head = 0
Body = 144
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
Alineacion = 0
Domable = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 600
MaxHP = 600
MaxHIT = 100
MinHIT = 100
PoderAtaque = 1000
PoderEvasion = 500
Domable = 0
LanzaSpells = 1
Sp1 = 23
AguaValida = 1

[NPC109] ' Recompensa
Name=Viejo sabio
NpcType = 11
Desc=Pocos son los que logran llegar a donde yo me encuentro. Si tienes la voluntad y la grandeza de aprender, puedo enseñarte muchas cosas. Escribe /hablar para hacerlo.
Head = 7
Body = 63
Heading = 3
Movement = 1
Attackable = 0

[NPC112] ' Guardia
Name=Guardia del Caos
NpcType = 2
Faccion = 2
Desc= Muévete sabandija!
Head = 0
Body = 268
Heading = 3
Movement = 3
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 115
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
PoderAtaque = 400
PoderEvasion = 400
Domable = 0

[NPC140] ' Guardia
Name=Guardia del Caos
NpcType = 2
Faccion = 2
Desc=Estorbas el paso!
Head = 102
Body = 56
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 9550
MaxHP = 9550
MaxHIT = 100
MinHIT = 100
